hsk_id,category,name,level,volume,lesson,note
hsk30-g1-001,语素,前缀,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-002,语素,后缀,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-003,词类,名词,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-004,词类,动词,1,标准教程1,9,AI预填·教材编排推测
hsk30-g1-005,词类,动词,1,标准教程1,9,AI预填·教材编排推测
hsk30-g1-006,词类,动词,1,标准教程1,10,AI预填·教材编排推测
hsk30-g1-007,词类,动词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-008,词类,代词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-009,词类,代词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-010,词类,代词,1,标准教程1,3,AI预填·教材编排推测
hsk30-g1-011,词类,数词,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-012,词类,量词,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-013,词类,量词,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-014,词类,量词,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-015,词类,副词,1,标准教程1,3,AI预填·教材编排推测
hsk30-g1-016,词类,副词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-017,词类,副词,1,标准教程1,5,AI预填·教材编排推测
hsk30-g1-018,词类,副词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-019,词类,副词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-020,词类,副词,1,标准教程1,3,AI预填·教材编排推测
hsk30-g1-021,词类,介词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-022,词类,介词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-023,词类,连词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-024,词类,助词,1,标准教程1,4,AI预填·教材编排推测
hsk30-g1-025,词类,助词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-026,词类,助词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-027,词类,叹词,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-028,短语,结构类型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-029,短语,结构类型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-030,短语,结构类型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-031,短语,结构类型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-032,短语,结构类型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-033,短语,结构类型,1,标准教程1,12,AI预填·教材编排推测
hsk30-g1-034,短语,结构类型,1,标准教程1,12,AI预填·教材编排推测
hsk30-g1-035,句子成分,主语,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-036,句子成分,谓语,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-037,句子成分,谓语,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-038,句子成分,宾语,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-039,句子成分,定语,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-040,句子成分,状语,1,标准教程1,12,AI预填·教材编排推测
hsk30-g1-041,句子成分,补语,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-042,句子的类型,句型,1,标准教程1,14,AI预填·教材编排推测
hsk30-g1-043,句子的类型,句型,1,标准教程1,14,AI预填·教材编排推测
hsk30-g1-044,句子的类型,句型,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-045,句子的类型,句型,1,标准教程1,14,AI预填·教材编排推测
hsk30-g1-046,句子的类型,句类,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-047,句子的类型,句类,1,标准教程1,2,AI预填·教材编排推测
hsk30-g1-048,句子的类型,句类,1,标准教程1,11,AI预填·教材编排推测
hsk30-g1-049,句子的类型,句类,1,标准教程1,11,AI预填·教材编排推测
hsk30-g1-050,句子的类型,句类,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-051,句子的类型,句类,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-052,句子的类型,特殊句型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-053,句子的类型,特殊句型,1,标准教程1,3,AI预填·教材编排推测
hsk30-g1-054,句子的类型,特殊句型,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-055,句子的类型,特殊句型,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-056,句子的类型,特殊句型,1,标准教程1,2,AI预填·教材编排推测
hsk30-g1-057,句子的类型,特殊句型,1,标准教程1,2,AI预填·教材编排推测
hsk30-g1-058,句子的类型,特殊句型,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-059,句子的类型,复句,1,标准教程1,15,AI预填·教材编排推测
hsk30-g1-060,句子的类型,复句,1,标准教程1,15,AI预填·教材编排推测
hsk30-g1-061,句子的类型,复句,1,标准教程1,15,AI预填·教材编排推测
hsk30-g1-062,动作的态,,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-063,动作的态,,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-064,动作的态,,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-065,动作的态,,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-066,动作的态,,1,标准教程1,13,AI预填·未命中规则，需核对
hsk30-g1-067,特殊表达法,数的表达法,1,标准教程1,7,AI预填·教材编排推测
hsk30-g1-068,特殊表达法,数的表达法,1,标准教程1,1,AI预填·教材编排推测
hsk30-g1-069,特殊表达法,时间表示法,1,标准教程1,6,AI预填·教材编排推测
hsk30-g1-070,特殊表达法,时间表示法,1,标准教程1,6,AI预填·教材编排推测
hsk30-g2-001,语素,后缀,2,标准教程2,13,AI预填·未命中规则，需核对
hsk30-g2-002,词类,名词,2,标准教程2,13,AI预填·未命中规则，需核对
hsk30-g2-003,词类,动词,2,标准教程2,13,AI预填·未命中规则，需核对
hsk30-g2-004,词类,动词,2,标准教程2,13,AI预填·未命中规则，需核对
hsk30-g2-005,词类,动词,2,标准教程2,13,AI预填·未命中规则，需核对
